Export-URL;Impressionen;Zeitraum;Live HTTP (Analyse-Snapshot);Lokale Zuordnung;Lokaler Status;Zuordnungstyp;Mögliche Zielseite;Status;Veröffentlichung
https://www.powertech-performance.com/adblue-deaktivieren-vor-nachteile-wahrheit/;6095;unbekannt;404;https://www.powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/;130;unbekannt;200;https://www.powertech-performance.com/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/auto-selber-waschen-erfurt/;48;unbekannt;404;https://www.powertech-performance.com/blog/auto-selber-waschen-erfurt/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/chiptuning-raum-erfurt/;47;unbekannt;404;https://www.powertech-performance.com/blog/chiptuning-raum-erfurt/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/softwareoptimierung-dpf-off-erfurt/;33;unbekannt;404;https://www.powertech-performance.com/blog/softwareoptimierung-dpf-off-erfurt/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/adblue-deaktivierung/;22;unbekannt;404;https://www.powertech-performance.com/blog/adblue-deaktivierung/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/adblue-deaktivieren/;21;unbekannt;404;;404;nur thematischer Kandidat;https://powertech-performance.com/adblue-service;benötigt meine Entscheidung;ausstehend
https://www.powertech-performance.com/chiptuning/;17;unbekannt;404;https://www.powertech-performance.com/chiptuning;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;9;unbekannt;200;https://www.powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/nordhausen/;8;unbekannt;404;https://www.powertech-performance.com/nordhausen;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;7;unbekannt;200;https://www.powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/wie-lange-dauert-adblue-off/;6;unbekannt;200;https://www.powertech-performance.com/blog/wie-lange-dauert-adblue-off/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;4;unbekannt;200;https://www.powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/gotha/;4;unbekannt;404;https://www.powertech-performance.com/gotha;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/fahrzeugaufbereitung-erfurt/;3;unbekannt;404;https://www.powertech-performance.com/blog/fahrzeugaufbereitung-erfurt/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
